basin,station_name,cluster,cluster_label,NSE,KGE,Pearson-r,RMSE,Peak-MAPE,Alpha-NSE,Beta-KGE,Beta-NSE,FHV,FLV,FMS,MAPE,MSE,Missed-Peaks,Peak-Timing,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,huc_02,gauge_name,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,area_geospa_fabric,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99
09484600,,3,Cluster 3,-0.34644609689712524,0.1687765691440553,0.6393050670623779,0.06651052978499984,92.38139152526855,1.4920610427856444,1.5330960750579834,0.11254327185451984,14.778211414813995,-144.81908556622636,17.647963311553035,479.45298433303833,0.004450569860637188,0.606,0.6923076923076923,1.2634045174538,3.70382902017291,0.426710730808294,0.0101482581857307,2.93162559497367,28.8,1.6695652173913,jja,305.6,11.2352941176471,mam,Siliciclastic sedimentary rocks,0.705469102870204,Acid plutonic rocks,0.0964584204723188,0.057423150805567,0.2172,-12.6202,0.0118951901476371,0.0094151872842833,0.34344371747863,0.222636357477416,1.61058842366247,0.0003318543623528,0.0331854362352858,29.25,3.75,239.9,26.3626373626374,0.0005475701574264,246.85,15,"PANTANO WASH NEAR VAIL, AZ.",6.91719378953422,1.13535227551293,0.441451571940514,1.14314121081846,0.465294619773977,34.6401108843064,26.3883110079554,23.329179950937,0.0,0.0,11.8190548879268,32.03591,-110.67758,1347.5,44.72847,1179.59,1240.13,0.0621,0.649335259167385,0.410887939186568,0.306563001007221,0.140119512843138,0.67174068589611,    Open Shrublands,0.175010504291693,2.5811413445337
09386900,,3,Cluster 3,0.14069315195083618,-0.11112688629344843,0.6122814118862152,0.4584651301672902,91.68208635770358,0.1431354522705078,0.4087329924106598,-0.11797357723116875,-84.53870415687561,-32.71706058561647,-46.85853325487786,1005.0443458557129,0.2101967602968216,0.7,0.8615384615384615,1.21394661190965,3.00467045859001,0.141078799713188,0.307507544080434,2.47512570084394,32.7,1.59512195121951,jja,308.35,10.0603588907015,mam,Siliciclastic sedimentary rocks,0.534335710591192,Mixed sedimentary rocks,0.205776200671653,0.164153092693113,0.1755,-13.7243,0.0584121949502781,0.0481175979052244,0.0892182424488193,0.218770458885681,3.73972077881536,0.0,0.22489339393495,59.15,8.45,303.65,41.8827586206897,0.163586584531143,185.3,15,"RIO NUTRIA NEAR RAMAH, NM",1.07194244604317,1.26272518501019,0.435135781366059,1.41665446876957,0.543093025216412,41.9396644570458,32.3836417426919,23.6991627173219,0.0,0.0,2.27203381088535,35.28253,-108.55341,2341.65,37.39246,184.94,186.23,0.3012,1.01451900413024,0.497994544953751,0.414352940877652,0.0999160403285754,0.428096937544555,    Grasslands,0.149492370029029,1.84596348206989
09306242,,3,Cluster 3,0.15514581203460692,0.12097890829080944,0.4603677123785019,0.0882243765283108,68.93693049748738,0.47796493470668794,0.5460950255393981,-0.23065377473831178,-46.58876448869705,-665.5800065677641,-44.763624892790176,80.88298261165619,0.0077850390691310166,0.826086956521739,1.2333333333333334,1.26844353182752,3.68380303901437,0.0541007336993257,0.35800746386243,2.90419159117546,29.2,1.5012853470437,mam,294.7,7.43253467843632,jja,Siliciclastic sedimentary rocks,0.999028023340524,Unconsolidated sediments,0.0009719766594761,0.0,0.1579,-15.7937,0.0334359946835847,0.0263598606044462,0.990889032876302,0.686514786539363,2.37410411328682,0.0041775896618713,0.113391719393651,16.2,21.6,44.65,18.6041666666667,0.0,198.1,14,"CORRAL GULCH NEAR RANGELY, CO.",0.891304347826087,0.622176264863901,0.435390910860195,1.69191073379508,0.209860474764606,34.3249265275791,27.8545004562503,15.3387922887304,0.0,0.0,22.561305645508,39.92025,-108.47287,2245.09,61.01553,81.99,87.7,0.0,0.817796166654334,0.559897954810272,0.346300865438431,0.161054982390056,0.999999999999969,    Grasslands,0.119999999999996,1.49999999999995
06847900,,1,Cluster 1,0.16998286843299865,-0.006387422812094678,0.4906488448381424,0.10648325337262694,72.72942876815796,0.23355377465486526,0.6284391909837723,-0.05976522509008646,-68.16408693790436,-2.10338732727811,31.14593883132711,502.9883146286011,0.011340097896754742,0.735897435897436,0.58,1.57560164271047,3.30560683093771,0.804810475115176,0.102382584534704,2.09799656292002,24.65,1.3252688172043,jja,297.3,7.36802973977695,djf,Unconsolidated sediments,0.885004735706505,Mixed sedimentary rocks,0.114995264293495,0.0,0.1723,-13.6252,0.0121807342820902,0.0077308463966411,1.50560096413134,0.452948638712308,1.23587717402422,0.0,0.0222967586286092,7.6,3.10204081632653,130.6,25.8613861386139,0.134017796030116,204.65,10,"PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS",41.1476510067114,1.50000001490115,0.474609751236941,0.847090362267965,0.692591197761903,17.5606333005653,67.7749004733701,14.7409445304165,0.0,0.0,0.0,39.76985,-100.10078,885.8,6.55023,1536.19,1539.16,0.001,0.922368767144321,0.659688667437801,0.418650602488718,0.213876991256613,0.564612419377989,    Grasslands,0.146123254837301,1.49999999999983
09447800,,3,Cluster 3,0.2219087839126587,-0.10512940589700712,0.7740180850028991,0.5351298647655668,87.5086314337594,0.1632416605949402,0.31571832448244097,-0.06488170437514781,-77.65370905399323,-670.3831428259989,61.410267114020044,62.67622619867325,0.2863938271999359,0.5,0.3,1.0724257357974,3.25946056125941,0.138870714606984,0.0394826699276366,3.0393345221577,27.7,1.63905325443787,jja,310.4,11.1454219030521,mam,Acid volcanic rocks,0.463665046592738,Siliciclastic sedimentary rocks,0.460729745247677,0.0291895480441197,0.175,-12.4731,0.0361895160274127,0.0337454751591765,0.471574032674217,0.354762522038852,1.475638345212,0.0046931599037331,0.0406740524990209,8.7,3.0,77.7,33.063829787234,0.0,169.5,15,"BONITA CREEK NEAR MORENCI, AZ.",5.63718411552347,1.41636291271115,0.449201623925419,0.639747497528965,0.468866454913106,20.7895011786704,19.185338689218,33.8841778211012,0.0,0.0,26.2095452079132,32.95562,-109.53119,1395.31,59.50706,781.96,777.14,0.1601,0.588618872377099,0.320768321168574,0.279558389342605,0.0827973582246185,0.712148810421495,    Open Shrublands,0.182763914981703,2.71071606139806
07142300,,3,Cluster 3,0.2422660231590271,0.027383470464392812,0.6483350574970246,0.1333780843413272,76.6161470413208,0.26348478347063065,0.4747005641460419,-0.1705760605633259,-66.67584896087646,7.559635193825474,-32.815102558425096,498.8468623161316,0.017791682668030263,0.6387096774193548,0.8400000000000001,1.8067446954141,2.83269767282683,0.64300366741464,0.0867916780002227,1.56784612680298,25.1,1.28388746803069,jja,304.1,8.03434610303831,djf,Unconsolidated sediments,1.0,,0.0,0.0,0.2413,-11.8217,0.0193382564704236,0.0107033697231868,1.95908488143689,0.612135072932356,2.78057696896846,0.0,0.0483953974525296,7.55,3.28260869565217,122.95,39.031746031746,0.132785763175907,204.1,11,"RATTLESNAKE C NR MACKSVILLE, KS",49.5319001386963,1.50000001490116,0.423554327070169,1.42060071237054,0.647241958102202,53.1387655562332,30.588484893292,16.1854752431871,0.0,0.0,0.0,37.87159,-98.87614,677.58,4.76724,1819.94,1923.39,0.0003,1.16382103006498,0.848938456870195,0.48782477912583,0.24715153615008,0.521780795485334,    Grasslands,0.148693152270853,1.49999999999977
06352000,,3,Cluster 3,0.29322784543037417,0.0635807124711549,0.7396377265453339,0.22657392969166254,83.26088645241478,0.24409319907426835,0.5161694467067719,-0.09080791547894478,-70.09461581707001,2.666879839661333,-25.95051885772481,240.35615801811218,0.05136108957231045,0.75625,1.5272727272727273,1.09566735112936,2.33464149212868,0.751851497127695,0.168403955596369,2.13079406785484,24.15,1.46808510638298,jja,301.65,8.01195219123506,djf,Unconsolidated sediments,0.998667780414871,Mixed sedimentary rocks,0.0008279999005637,0.0,0.2206,-12.9728,0.052164785508748,0.0476100574275385,0.364716096542008,0.236326012393306,1.94023496851304,0.0004072450503399,0.135748350113331,38.05,15.8541666666667,253.65,58.9883720930233,0.0209445585215606,198.5,10,"CEDAR CREEK NR HAYNES, ND",1.5291734197731,1.49371864831206,0.448029904019549,0.966925684162524,0.383676796974224,18.6418710729414,22.477848665495,16.0889061721259,0.0,0.0,42.74058174245,46.15417,-102.47405,840.97,7.25043,1441.83,1443.13,0.0,1.32741386908539,1.14545032170026,0.499443683369832,0.367105673625094,0.667461296151084,    Croplands,0.160047677769054,1.49999999999986
06350000,,3,Cluster 3,0.29499507546424864,0.08347576219698294,0.7030004978179931,0.21054904103302366,82.3806676864624,0.26422589719295503,0.5434693813323974,-0.0814863808453083,-68.14267575740814,43.35823121096143,19.21513073958391,125.22936582565308,0.04434409961104393,0.7181818181818181,1.1400000000000001,1.07796030116359,2.17467871321013,0.771483147435968,0.164913327830338,2.01740148580862,24.05,1.54166666666667,jja,302.35,8.28356164383562,djf,Unconsolidated sediments,0.986190484834622,Siliciclastic sedimentary rocks,0.0137780579893581,0.0,0.2194,-13.0304,0.0448031600672251,0.0415629035863965,0.341745322267808,0.252460651808735,1.86188841344283,0.0015321148614742,0.101054384480214,27.85,10.7115384615385,223.95,46.65625,0.001368925393566,201.8,10,"CANNONBALL RIVER AT REGENT, ND",1.41056283731689,1.49286745751926,0.451919736415313,0.863426100910799,0.397100676208096,16.9290024785574,23.6564565101113,17.8066504360184,0.0,0.0,41.6093154565588,46.42667,-102.55183,833.77,7.61453,1501.05,1506.19,0.0,1.37298757378111,1.19010954494035,0.503756353678352,0.370441094362271,0.589866320584699,    Croplands,0.15539197923507,1.49999999999985
06440200,,3,Cluster 3,0.31449311375617983,0.07460055382160799,0.6862241983413696,0.5047917454357097,81.36434146336147,0.30234837234020234,0.4801053524017334,-0.09382631853222848,-69.2152464389801,-331.4604620512097,-67.03805671574614,2694.5198249816895,0.2548452243208885,0.48,0.7785714285714286,1.31600958247775,2.36404299794661,0.662348894220469,0.140805850137048,1.79637217648191,24.25,1.41399416909621,jja,295.2,7.20879120879121,djf,Siliciclastic sedimentary rocks,0.826251057226108,Unconsolidated sediments,0.173748942773892,0.0,0.1299,-15.9866,0.072299800707358,0.0549386582514342,0.091614404410268,0.09812971209207,3.03903928364877,0.0,0.214059814518354,118.4,12.3333333333333,294.95,27.3101851851852,0.395071868583162,221.05,10,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",7.4051329055912,1.50000001490116,0.459288866325711,0.684760226406516,0.389089148283232,13.9161148526994,21.3871604084886,20.1902502785938,0.0,0.0,48.6170744157851,43.96888,-101.76709,756.84,9.79001,649.19,654.7,0.0,0.867418571780611,0.687038696790918,0.370097406391618,0.227159956917554,0.999999999999898,    Grasslands,0.119999999999988,1.49999999999985
06344600,,3,Cluster 3,0.3165715217590332,0.2838449051518795,0.5716787874698639,0.27052226924944756,60.92761646617542,0.48550408482551577,0.7478797018527985,-0.04398959614336491,-48.217514753341675,-10.715026695674805,-26.095741577013985,460.5054783821106,0.07319341003894805,0.6157894736842106,0.4909090909090909,1.13692402464066,2.12980318959617,0.835102017131009,0.162624033289867,1.87330300304748,25.2,1.56521739130435,jja,297.9,7.83947368421053,djf,Unconsolidated sediments,0.983098076035488,Siliciclastic sedimentary rocks,0.0169019239645123,0.0,0.2195,-13.0372,0.051663550953648,0.0454415157336279,0.28878828514768,0.163255334059596,2.42996969041101,0.0,0.121568971207394,39.5,9.40476190476191,266.45,39.7686567164179,0.108966461327858,196.75,10,"GREEN RIVER NR NEW HRADEC, ND",1.21368715083799,1.49966394687177,0.453138790585444,0.830512448497455,0.46229277877535,18.5072465976049,26.9162429134008,20.8424065200093,0.0,0.0,33.8162850637191,47.02779,-103.05324,796.57,7.89802,402.5,408.92,0.0,1.29171518246715,1.0902951829116,0.504651094366985,0.357330671801601,0.556778626787294,    Grasslands,0.146593282392759,1.49999999999997
